"STATION","NAME","DATE","TMAX","TMIN"
"IT000162240","VIGNA DI VALLE, IT","2005-01-01","49","37"
"IT000162240","VIGNA DI VALLE, IT","2005-01-02","49","37"
"IT000162240","VIGNA DI VALLE, IT","2005-01-03","51","39"
"IT000162240","VIGNA DI VALLE, IT","2005-01-04","52","38"
"IT000162240","VIGNA DI VALLE, IT","2005-01-05","55","41"
"IT000162240","VIGNA DI VALLE, IT","2005-01-06","54","42"
"IT000162240","VIGNA DI VALLE, IT","2005-01-07","58","41"
"IT000162240","VIGNA DI VALLE, IT","2005-01-08","50","39"
"IT000162240","VIGNA DI VALLE, IT","2005-01-09","56","43"
"IT000162240","VIGNA DI VALLE, IT","2005-01-10","52","40"
"IT000162240","VIGNA DI VALLE, IT","2005-01-11","52","43"
"IT000162240","VIGNA DI VALLE, IT","2005-01-12","47","45"
"IT000162240","VIGNA DI VALLE, IT","2005-01-13","50","43"
"IT000162240","VIGNA DI VALLE, IT","2005-01-14","50","39"
"IT000162240","VIGNA DI VALLE, IT","2005-01-15","47","38"
"IT000162240","VIGNA DI VALLE, IT","2005-01-16","46","37"
"IT000162240","VIGNA DI VALLE, IT","2005-01-17","47","36"
"IT000162240","VIGNA DI VALLE, IT","2005-01-18","48","34"
"IT000162240","VIGNA DI VALLE, IT","2005-01-19","46","38"
"IT000162240","VIGNA DI VALLE, IT","2005-01-20","52","40"
"IT000162240","VIGNA DI VALLE, IT","2005-01-21","54","39"
"IT000162240","VIGNA DI VALLE, IT","2005-01-22","56","41"
"IT000162240","VIGNA DI VALLE, IT","2005-01-23","48","38"
"IT000162240","VIGNA DI VALLE, IT","2005-01-24","43","37"
"IT000162240","VIGNA DI VALLE, IT","2005-01-25","38","32"
"IT000162240","VIGNA DI VALLE, IT","2005-01-26","39","33"
"IT000162240","VIGNA DI VALLE, IT","2005-01-27","37","33"
"IT000162240","VIGNA DI VALLE, IT","2005-01-28","37","31"
"IT000162240","VIGNA DI VALLE, IT","2005-01-29","38","31"
"IT000162240","VIGNA DI VALLE, IT","2005-01-30","40","33"
"IT000162240","VIGNA DI VALLE, IT","2005-01-31","44","32"
"IT000162240","VIGNA DI VALLE, IT","2005-02-01","44","33"
"IT000162240","VIGNA DI VALLE, IT","2005-02-02","45","35"
"IT000162240","VIGNA DI VALLE, IT","2005-02-03","51","34"
"IT000162240","VIGNA DI VALLE, IT","2005-02-04","47","36"
"IT000162240","VIGNA DI VALLE, IT","2005-02-05","42","33"
"IT000162240","VIGNA DI VALLE, IT","2005-02-06","44","30"
"IT000162240","VIGNA DI VALLE, IT","2005-02-07","43","32"
"IT000162240","VIGNA DI VALLE, IT","2005-02-08","53","31"
"IT000162240","VIGNA DI VALLE, IT","2005-02-09","51","35"
"IT000162240","VIGNA DI VALLE, IT","2005-02-10","50","34"
"IT000162240","VIGNA DI VALLE, IT","2005-02-11","52","32"
"IT000162240","VIGNA DI VALLE, IT","2005-02-12","50","43"
"IT000162240","VIGNA DI VALLE, IT","2005-02-13","59","45"
"IT000162240","VIGNA DI VALLE, IT","2005-02-14","47","41"
"IT000162240","VIGNA DI VALLE, IT","2005-02-15","42","36"
"IT000162240","VIGNA DI VALLE, IT","2005-02-16","43","36"
"IT000162240","VIGNA DI VALLE, IT","2005-02-17","47","37"
"IT000162240","VIGNA DI VALLE, IT","2005-02-18","49","36"
"IT000162240","VIGNA DI VALLE, IT","2005-02-19","48","32"
"IT000162240","VIGNA DI VALLE, IT","2005-02-20","43","36"
"IT000162240","VIGNA DI VALLE, IT","2005-02-21","43","35"
"IT000162240","VIGNA DI VALLE, IT","2005-02-22","46","35"
"IT000162240","VIGNA DI VALLE, IT","2005-02-23","46","33"
"IT000162240","VIGNA DI VALLE, IT","2005-02-24","44","34"
